City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,itarema,80,BR,1552245427,91,-2.92,-39.92,81.49,9.57
1,la ronge,20,CA,1552240800,66,55.1,-105.3,10.4,8.05
2,hofn,92,IS,1552245428,100,64.25,-15.21,38.74,20.87
3,camacha,40,PT,1552242600,77,33.08,-16.33,64.4,12.75
4,rehlingen-siersburg,1,DE,1552245427,65,49.37,6.68,48.0,16.11
5,santa vitoria do palmar,0,BR,1552245429,80,-33.52,-53.37,72.13,15.68
6,los llanos de aridane,20,ES,1552245303,77,28.66,-17.92,68.0,12.75
7,faanui,36,PF,1552245429,100,-16.48,-151.75,81.98,8.86
8,banda aceh,0,ID,1552245429,100,5.56,95.32,72.67,2.19
9,bafoulabe,0,ML,1552245430,19,13.81,-10.83,94.18,3.53
10,oussouye,0,SN,1552244400,64,12.49,-16.54,91.4,4.7
11,merauke,92,ID,1552245430,100,-8.49,140.4,76.36,1.25
12,salalah,0,OM,1552240200,57,17.01,54.1,78.8,1.12
13,hammerfest,0,NO,1552242000,85,70.66,23.68,17.6,10.29
14,coquimbo,0,CL,1552240800,56,-29.95,-71.34,69.8,12.75
15,avarua,80,CK,1552242600,83,-21.21,-159.78,82.4,5.82
16,rikitea,44,PF,1552245133,100,-23.12,-134.97,74.74,12.77
17,alofi,88,NU,1552240800,94,-19.06,-169.92,77.0,9.17
18,marawi,44,PH,1552245368,86,8.0,124.29,71.01,5.01
19,samarai,92,PG,1552245432,100,-10.62,150.67,79.19,4.21
20,norman wells,75,CA,1552240800,78,65.28,-126.83,8.6,8.05
21,turangi,48,NZ,1552245303,98,-39.0,175.93,53.01,1.99
22,albany,90,US,1552245195,80,42.65,-73.75,39.2,17.22
23,shache,0,CN,1552245434,58,38.42,77.24,37.16,4.54
24,tura,0,IN,1552245371,72,25.52,90.21,60.61,3.76
25,kapaa,90,US,1552245351,73,22.08,-159.32,75.2,14.99
26,novyy urengoy,80,RU,1552245435,84,66.08,76.63,21.46,8.08
27,mezen,0,RU,1552245435,76,65.85,44.24,18.85,3.98
